date,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
2020-04-04,114.9184595,87.00969079,96.85984447,164.1692279,116.5601518,0,70.592768,0,103.4266136,0,42.68399926,119.8435364,0
2020-04-05,182.7817406,168.7216067,138.5927484,92.3951656,192.8246934,0,140.601339,0,128.5497956,200.8590556,18.07731501,28.12026779,0
2020-04-06,85.30445344,121.8635049,79.2112782,152.3293811,134.0498554,609.3175246,103.5839792,0,97.49080393,127.9566802,24.37270098,231.5406593,0
2020-04-07,97.11642586,84.71858426,138.4425645,206.6306933,78.51966346,0,128.1110299,0,84.71858426,0,16.53045547,119.8458021,0
2020-04-08,138.9030541,97.2321379,55.56122166,68.06249653,105.5663211,0,136.1249931,0,108.3443822,0,26.39158029,65.28443545,0
2020-04-09,60.91600985,49.07123016,67.68445539,113.3714628,57.53178708,0,25.38167077,0,50.76334154,169.2111385,20.30533662,23.68955939,0
2020-04-10,159.5014706,113.9296218,182.287395,199.3768382,569.6481092,0,290.5205357,0,96.84017857,0,11.39296218,290.5205357,0
2020-04-11,53.33225108,47.99902597,37.33257576,69.33192641,74.66515152,474.6570346,79.99837662,0,58.66547619,0,10.66645022,63.9987013,533.3225108
2020-04-12,55.28635584,47.95924844,66.61006728,27.31012759,0,0,36.63553701,0,43.29654373,0,17.98471817,32.63893297,0
2020-04-13,54.99390666,38.35101385,44.86345017,72.3604035,0,0,36.90380578,0,34.73299368,0,4.34162421,23.87893315,0
2020-04-14,108.2753656,52.31281711,19.46523427,35.28073712,53.52939425,0,76.64435995,0,70.56147424,0,8.516039994,121.6577142,0
2020-04-15,36.71822344,35.35828924,28.55861823,73.43644689,135.9934202,0,84.3159205,0,38.07815764,0,6.799671008,12.23940781,0
2020-04-16,99.46213282,85.2532567,111.8948994,53.28328544,0,0,177.6109515,0,103.0143519,0,8.880547573,71.04438059,0
2020-04-17,71.13021637,48.06095701,51.90583357,61.51802497,192.243828,0,42.29364217,0,73.05265465,142.2604327,15.37950624,0,0
2020-04-18,60.79621212,60.79621212,13.1129085,0,38.1466429,0,85.82994652,0,65.56454248,119.2082591,23.84165181,78.67745098,0
2020-04-19,44.04324825,46.63402756,129.5389654,0,103.6311723,0,46.63402756,0,51.81558617,0,15.54467585,47.92941721,0
2020-04-20,79.16666667,59.375,39.58333333,19.79166667,178.125,0,39.58333333,1979.166667,39.58333333,0,19.79166667,39.58333333,0
2020-04-21,39.66666667,39.66666667,19.83333333,19.83333333,39.66666667,0,59.5,1983.333333,39.66666667,0,19.83333333,19.83333333,0
2020-04-22,59.69520124,72.48703008,72.48703008,100.9133164,51.16731535,0,44.06074377,0,51.16731535,142.1314315,27.00497199,42.63942946,0
2020-04-23,24.12762715,73.47959177,69.09275047,0,109.6710325,0,67.99604014,0,41.67499235,0,18.64407552,65.80261949,0
2020-04-24,53.85150996,40.99144788,40.99144788,0,80.375388,0,16.0750776,0,53.85150996,0,32.1501552,66.71157204,0
2020-04-25,46.4,46.4,46.4,104.4,0,0,116,1160,58,0,23.2,46.4,0
2020-04-26,38.34072779,46.91694322,14.63001455,0,40.86314409,0,18.66588064,0,50.44832604,0,17.65691412,17.65691412,0
2020-04-27,39.51610421,46.29029351,30.48385182,27.09675718,44.03223041,0,112.9031549,0,51.93545125,0,15.80644169,19.19353633,0
2020-04-28,49.43564862,61.10795455,0,68.66062308,51.49546731,0,66.60080439,0,60.42134831,0,20.59818693,0,0
2020-04-29,29.20025765,25.76493322,13.74129772,50.67103534,0,0,85.88311074,0,49.81220423,0,33.49441319,67.84765748,0
2020-04-30,38.7479312,54.7029617,45.58580142,113.9645035,90.0319578,0,99.14911808,0,52.42367163,0,17.09467553,92.31124787,0
2020-05-01,94.81942562,58.00717803,99.28151624,111.5522654,63.5847913,0,76.97106315,0,71.39344988,0,15.61731716,0,0
2020-05-02,34.78636364,69.57272727,76.53,111.3163636,354.8209091,695.7272727,125.2309091,0,76.53,0,27.82909091,0,0
2020-05-03,42.33256221,41.64977895,17.7523648,68.27832615,0,0,23.21463089,0,53.2570944,0,29.35968025,66.22997637,0
2020-05-04,83.25443489,81.86686097,138.7573915,86.02958272,65.215974,0,59.66567834,0,80.47928706,0,13.87573915,29.13905221,0
2020-05-05,51.57210145,62.42938596,21.71456903,271.4321129,0,0,27.14321129,0,81.42963387,0,21.71456903,27.14321129,0
2020-05-06,23.82904435,50.24820221,25.90113516,23.82904435,35.74356652,0,0,0,51.80227032,0,21.75695353,50.24820221,0
2020-05-07,28.16646501,62.59214447,67.28655531,25.03685779,0,0,78.24018059,0,28.94886682,0,25.03685779,67.28655531,0
2020-05-08,51.94172303,30.69283634,80.27357196,24.79036781,0,0,50.76122933,0,49.58073562,118.0493705,16.52691187,48.40024191,0
2020-05-09,40.2437403,35.02695915,32.04594135,74.525445,0,0,12.66932565,0,49.93204815,0,20.8671246,25.3386513,0
2020-05-10,21.14987674,27.87938298,26.91802494,96.13580337,36.53160528,0,63.44963023,0,41.33839545,0,22.11123478,16.34308657,0
2020-05-11,30.57509158,22.08201058,77.28703704,84.93080993,29.72578348,0,14.43823769,0,35.67094017,0,11.04100529,53.50641026,0
2020-05-12,28.25,32.95833333,23.54166667,70.625,0,470.8333333,0,0,37.66666667,108.2916667,28.25,47.08333333,0
2020-05-13,45.33610075,45.33610075,41.70921269,121.50075,58.03020897,0,154.1427426,0,85.23186942,181.344403,19.94788433,179.530959,0
2020-05-14,34.6702738,51.2517091,46.72949948,94.96640216,0,0,42.20728985,0,72.35535403,150.7403209,39.19248343,0,0
2020-05-15,56.60263651,59.50533582,50.07156307,72.5674827,0,0,15.96484619,0,46.44318893,0,25.39861895,31.92969239,0
2020-05-16,32.81144616,51.56084397,35.62385583,93.74698904,0,0,19.6868677,0,40.31120529,0,23.43674726,21.56180748,0
2020-05-17,18.03696735,53.01775253,54.65747683,32.7944861,48.64515438,0,0,0,43.72598146,0,18.03696735,20.7698412,0
